# time(fs)  total O H
4.960000000000000000e+02 1.471372021314860663e-04 3.930430400564153762e-05 1.078328981258445490e-04
4.980000000000000000e+02 1.613495370343177621e-04 3.956351325944891967e-05 1.217860237748688492e-04
5.000000000000000000e+02 1.478852141606915656e-04 3.965911272803681280e-05 1.082261014326547460e-04
5.020000000000000000e+02 1.189957200683176435e-04 3.966301205467511181e-05 7.933270801364252487e-05
5.040000000000000000e+02 1.002876890870726511e-04 3.966102467287085486e-05 6.062666441420180982e-05
5.060000000000000000e+02 9.838245961085324951e-05 3.964406013552182858e-05 5.873839947533143448e-05
5.080000000000000000e+02 9.897505456705900817e-05 3.955487803739854039e-05 5.942017652966048811e-05
5.100000000000000000e+02 9.341258760554288347e-05 3.940148227758684857e-05 5.401110532795603490e-05
5.120000000000000000e+02 9.057832232650343200e-05 3.925010182003186275e-05 5.132822050647158280e-05
5.140000000000000000e+02 9.740166060105989547e-05 3.910823990302211584e-05 5.829342069803781351e-05
5.160000000000000000e+02 1.028775743800200253e-04 3.889468655912093991e-05 6.398288782089909892e-05
5.180000000000000000e+02 9.230894662630587729e-05 3.855094461403993074e-05 5.375800201226596010e-05
5.200000000000000000e+02 6.963134091439779740e-05 3.812451902304932769e-05 3.150682189134846971e-05
5.220000000000000000e+02 5.255223864086337829e-05 3.769532126387819561e-05 1.485691737698517929e-05
5.240000000000000000e+02 4.859958538395276438e-05 3.726175525708501606e-05 1.133783012686774323e-05
5.260000000000000000e+02 4.952542950932864072e-05 3.676592276995095004e-05 1.275950673937769069e-05
5.280000000000000000e+02 5.049586985610959037e-05 3.621193105112859207e-05 1.428393880498099152e-05
5.300000000000000000e+02 5.968243214462870452e-05 3.567479963179684394e-05 2.400763251283186058e-05
5.320000000000000000e+02 8.199381004207657332e-05 3.517913447196668674e-05 4.681467557010989336e-05
5.340000000000000000e+02 1.043210841558118421e-04 3.464057444951084807e-05 6.968050970630099400e-05
5.360000000000000000e+02 1.092986796030184017e-04 3.397655912725004810e-05 7.532212047576838075e-05
5.380000000000000000e+02 9.879427472743762030e-05 3.322345906930366567e-05 6.557081565813395463e-05
5.400000000000000000e+02 9.036532431702049765e-05 3.247608166710428448e-05 5.788924264991621995e-05
5.420000000000000000e+02 9.234239259111173749e-05 3.174705111607738727e-05 6.059534147503435700e-05
5.440000000000000000e+02 9.481441114412460908e-05 3.096071443402887910e-05 6.385369671009572998e-05
5.460000000000000000e+02 8.968714076317175913e-05 3.009252441739879098e-05 5.959461634577297492e-05
5.480000000000000000e+02 8.624097508398901701e-05 2.922620895481902145e-05 5.701476612916999217e-05
5.500000000000000000e+02 9.708803447637767464e-05 2.843338972687200068e-05 6.865464474950568074e-05
5.520000000000000000e+02 1.158299699875267743e-04 2.766002349133442985e-05 8.816994649619232412e-05
5.540000000000000000e+02 1.217072189940097537e-04 2.679729291588673750e-05 9.490992607812302295e-05
5.560000000000000000e+02 1.063216814640920795e-04 2.583625895656128390e-05 8.048542250753080573e-05
5.580000000000000000e+02 8.353002861793639810e-05 2.487225081509258055e-05 5.865777780284382433e-05
5.600000000000000000e+02 7.062096099515816343e-05 2.396610045093598465e-05 4.665486054422216184e-05
