# wavenumber(cm^-1)  total O H
1.119752516839499776e+03 5.428625230046846273e-02 2.053011227290334163e-04 5.408095117773940863e-02
1.123824344173461441e+03 5.331000635123641501e-02 2.026034803676913555e-04 5.310740287086873623e-02
1.127896171507423333e+03 5.239547248810640795e-02 2.000536761809090390e-04 5.219541881192553412e-02
1.131967998841385224e+03 5.153498500554828249e-02 1.976507837631155044e-04 5.133733422178515804e-02
1.136039826175347116e+03 5.072257324457681016e-02 1.953979148895185138e-04 5.052717532968731273e-02
1.140111653509308780e+03 4.995399192152784329e-02 1.932969106228462264e-04 4.976069501090503444e-02
1.144183480843270672e+03 4.922627975861144228e-02 1.913434438818455467e-04 4.903493631472962550e-02
1.148255308177232564e+03 4.853712345458189442e-02 1.895246594247399342e-04 4.834759879515715397e-02
1.152327135511194228e+03 4.788429984253875227e-02 1.878203644814709929e-04 4.769647947805731591e-02
1.156398962845156120e+03 4.726536512566933274e-02 1.862072845689930725e-04 4.707915784110035945e-02
1.160470790179118012e+03 4.667761973674731946e-02 1.846646598736294991e-04 4.649295507687369045e-02
1.164542617513079676e+03 4.611826629232681357e-02 1.831789860797758168e-04 4.593508730624704800e-02
1.168614444847041568e+03 4.558463548835579859e-02 1.817461578273401094e-04 4.540288933052850223e-02
1.172686272181003460e+03 4.507438084972073544e-02 1.803704104766784002e-04 4.489401043924404200e-02
1.176758099514965124e+03 4.458560625677928518e-02 1.790607586039140984e-04 4.440654549817543012e-02
